상품명,가격,별점,리뷰 수,스펙,상품 상세 URL
ASUS ROG STRIX SCAR 18 G835LX-SA041W,6498900,4.7,509018835041,노트북/ 45.72cm(18인치)/ 3.48kg/ 윈도우11홈/ / [화면] 해상도: 2560x1600(WQXGA)/ 주사율: 240Hz/ / [CPU] 인텔/ 코어 울트라9(S2)/275HX (5.4GHz)/ NPU: 13TOPS/ / [그래픽] 외장그래픽/ RTX5090/ TGP: 175W/ / RTX5090 그래픽 달린 ASUS SCAR 18인치 게이밍노트북 G835LX-SA041W 사용리뷰,https://prod.danawa.com/info/?pcode=77088371&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
삼성전자 갤럭시북4 NT750XGR-A71A,1240000,4.9,475071512,노트북/ 39.6cm(15.6인치)/ 1.55kg/ OS미포함(프리도스)/ / [화면] 해상도: 1920x1080(FHD)/ / [CPU] 인텔/ 코어i7-13세대/ i7-1355U (1.7GHz)/ / [그래픽] 내장그래픽/Iris Xe/ / 삼성전자 갤럭시북4 NT750XGR-A71A(SSD 512GB) / SSD 512GB,https://prod.danawa.com/info/?pcode=43522826&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
MSI 알파 17 C7VG-R9 QHD,1698990,4.7,20241779,노트북/ 43.9cm(17.3인치)/ 2.8kg/ OS미포함(프리도스)/ / [화면] 해상도: 2560x1440(QHD)/ 밝기: 300nit/ 주사율: 240Hz/ / [CPU] AMD/ 라이젠9(Zen4)/ 7945HX (2.5Hz)/ / [그래픽] 외장그래픽/ RTX4070/ TGP: 140W/,https://prod.danawa.com/info/?pcode=27613289&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=11252476
삼성전자 갤럭시북5 프로 NT940XHA-K51A,1797990,4.9,594051,AI노트북/ 35.6cm(14인치)/ 1.23kg/ 최대 21시간/ 윈도우11홈/ / [화면] 해상도: 2880x1800(WQXGA+)/ 밝기: 400nit/ 주사율: 120Hz/ / [CPU] 인텔/ 코어 울트라5(S2)/ 226V (4.5GHz)/ NPU: 40TOPS/ / [그래픽] 내장그래픽/Arc 130V/ 7core/ / SSD 256GB / SSD 512GB,https://prod.danawa.com/info/?pcode=73614713&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
ASUS 비보북 15 X1504VA-BQ4270W 표준노트북,916050,,,노트북/ 39.62cm(15.6인치)/ 1.7kg/ 윈도우11홈/ / [화면] 해상도: 1920x1080(FHD)/ 밝기: 250nit/ 주사율: 60Hz/ / [CPU] 인텔/ 코어5/120U (5.0GHz)/ / [그래픽] 내장그래픽/Intel Graphics/ / SSD 512GB,https://prod.danawa.com/info/?pcode=101953292&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
LG전자 2025 그램14 14Z90T-GA5CK,1492230,4.8,4849,LG전자 2025 그램14 14Z90T-GA5CK / 노트북/ 35.5cm(14인치)/ 1.12kg/ 윈도우11홈/ / [화면] 해상도: 1920x1200(WUXGA)/ 밝기: 350nit/ / [CPU] 인텔/ 코어 울트라5(S2)/225H (4.9GHz)/ NPU: 13TOPS/ / [그래픽] 내장그래픽/Arc 130T/ 7core/ / SSD 256GB / SSD 512GB,https://prod.danawa.com/info/?pcode=74008352&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
LG전자 2025 그램15 15Z90T-GA5HK,1628070,4.9,4963,LG전자 2025 그램15 15Z90T-GA5HK / 노트북/ 39.6cm(15.6인치)/ 1.29kg/ 윈도우11홈/ / [화면] 해상도: 1920x1080(FHD)/ 밝기: 350nit/ / [CPU] 인텔/ 코어 울트라5(S2)/225H (4.9GHz)/ NPU: 13TOPS/ / [그래픽] 내장그래픽/Arc 130T/ 7core/ / SSD 512GB,https://prod.danawa.com/info/?pcode=74011034&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
ASUS TUF Gaming A14 FA401KM-RG006,2049000,4.7,50601414,AI노트북/ 35.56cm(14인치)/ 1.46kg/ OS미포함(프리도스)/ / [화면] 해상도: 2560x1600(WQXGA)/ 밝기: 400nit/ 주사율: 165Hz/ / [CPU] AMD/ 라이젠AI 7/350 (5.0GHz)/ NPU: 50TOPS/ / [그래픽] 외장그래픽/ RTX5060/ TGP: 105W/ / RTX 5060 탑재한 괴물급 14인치 게이밍 노트북 ASUS TUF A14,https://prod.danawa.com/info/?pcode=93383075&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
"APPLE 맥북프로16 M4프로 14코어 CPU, 20코어 GPU 블랙",3389990,5.0,5022,"APPLE 맥북프로16 M4프로 14코어 CPU, 20코어 GPU 블랙 / AI노트북/ 41.0cm(16.2인치)/ 2.14kg/ 최대 24시간/ macOS Sequoia/ / [화면] 해상도: 3456x2234(254ppi)/ 밝기: 1000nit/ 주사율: 120Hz/ / [CPU] 애플(ARM)/ M4 Pro/ NPU: 38TOPS/ / [그래픽] 내장그래픽/ 20core/ / 램24GB, SSD 512GB / 램24GB, SSD 1TB / 램48GB, SSD 512GB / 램48GB, SSD 1TB",https://prod.danawa.com/info/?pcode=70251404&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=11236463
ASUS ROG STRIX G16 G615LW-S5027,3858840,4.9,4919,노트북/ 40.6cm(16인치)/ 2.73kg/ OS미포함(프리도스)/ / [화면] 해상도: 2560x1600(WQXGA)/ 밝기: 500nit/ 주사율: 240Hz/ / [CPU] 인텔/ 코어 울트라9(S2)/275HX (5.4GHz)/ NPU: 13TOPS/ / [그래픽] 외장그래픽/ RTX5080/ TGP: 175W/,https://prod.danawa.com/info/?pcode=77088449&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81&cate=112758
삼성노트북-부품용,30000,,,,http://dmall.danawa.com/sale/saleView.php?nSaleSeq=52474594&nCateC1=860&nCateC2=869&nCateC3=0&nCateC4=0
7세대 LG전자 울트라PC 13U580 노트북,100000,,,,http://dmall.danawa.com/sale/saleView.php?nSaleSeq=52462020&nCateC1=860&nCateC2=869&nCateC3=0&nCateC4=0
아이뮤즈 StomeBook 14인치 노트북,50000,,,아이뮤즈 StomeBook 14인치 노트북,http://dmall.danawa.com/sale/saleView.php?nSaleSeq=52437703&nCateC1=860&nCateC2=869&nCateC3=0&nCateC4=0
LG전자 2026 그램14 14ZD95U-GX56K (SSD 256GB),1518990,,,LG전자 2026 그램14 14ZD95U-GX56K (SSD 256GB),https://prod.danawa.com/info/?pcode=103448942&cate1=860&cate2=869&cate3=10581&cate4=0&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81
LG전자 울트라PC 15U50T-GA5HK (SSD 256GB),759860,,,LG전자 울트라PC 15U50T-GA5HK (SSD 256GB),https://prod.danawa.com/info/?pcode=70335374&cate1=860&cate2=869&cate3=10581&cate4=0&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81
LG전자 2025 그램 프로16 16Z90TS-GS5CK (SSD 256GB),1709000,,,LG전자 2025 그램 프로16 16Z90TS-GS5CK (SSD 256GB),https://prod.danawa.com/info/?pcode=78528251&cate1=860&cate2=869&cate3=10581&cate4=0&keyword=%EB%85%B8%ED%8A%B8%EB%B6%81
